Year,County,NCICCode,Homicide_sum,Robbery_sum,AggAssault_sum,Burglary_sum,LTtotal_sum
2016,Contra Costa County,Kensington,0,0,3,20,36
2016,Contra Costa County,Martinez,0,21,27,112,422
2016,Contra Costa County,Lafayette,0,5,3,65,288
2016,Contra Costa County,Moraga,0,2,7,24,95
2016,Contra Costa County,Contra Costa E. Bay Reg. Park Dist.,0,3,7,0,143
2016,Contra Costa County,Contra Costa BART,0,49,26,2,598
2016,Contra Costa County,Contra Costa Community College,0,5,2,20,181
2016,Contra Costa County,Danville,1,0,5,68,264
2016,Contra Costa County,San Ramon,0,12,18,140,616
2016,Contra Costa County,Orinda,0,4,6,35,110
2016,Contra Costa County,Union Pacific RR - Contra Costa,0,0,0,0,1
2016,Contra Costa County,Oakley,0,24,25,77,221
2016,Contra Costa County,CA Highway Patrol - Contra Costa,0,0,3,0,2
2016,Del Norte County,Del Norte Co. Sheriff's Department,0,11,74,251,96
2016,Del Norte County,Crescent City,0,6,45,39,91
2016,Del Norte County,CA Highway Patrol - Del Norte,0,0,0,0,1
2016,El Dorado County,El Dorado Co. Sheriff's Department,1,37,200,512,1534
2016,El Dorado County,Placerville,0,9,12,76,262
2016,El Dorado County,South Lake Tahoe,1,23,35,90,297
2016,El Dorado County,Union Pacific RR - El Dorado,0,0,0,0,0
2016,El Dorado County,CA Highway Patrol - El Dorado,0,0,0,2,64
2016,Fresno County,Fresno Co. Sheriff's Department,12,82,1054,1625,1468
2016,Fresno County,Clovis,2,72,146,434,2337
2016,Fresno County,Coalinga,0,7,113,90,182
2016,Fresno County,Firebaugh,0,3,3,37,57
2016,Fresno County,Fowler,0,4,28,36,55
2016,Fresno County,Fresno,39,1122,1887,3697,13542
2016,Fresno County,Huron,1,8,42,43,36
2016,Fresno County,Kerman,0,7,24,74,243
2016,Fresno County,Kingsburg,0,8,16,116,126
2016,Fresno County,Mendota,4,12,74,33,85
2016,Fresno County,Orange Cove,1,3,34,30,67
2016,Fresno County,Parlier,0,13,79,75,100
2016,Fresno County,Reedley,0,19,161,154,265
2016,Fresno County,Sanger,3,17,97,161,315
2016,Fresno County,Selma,1,28,251,197,447
2016,Fresno County,State Center Community College,0,3,3,18,113
2016,Fresno County,Union Pacific RR - Fresno,0,0,0,0,2
2016,Fresno County,San Joaquin DPR,0,0,2,0,1
2016,Fresno County,CSU Fresno,0,5,5,62,245
2016,Fresno County,CA Highway Patrol - Fresno,0,0,0,0,27
2016,Fresno County,Coalinga State Hospital,0,0,172,1,3
2016,Glenn County,Glenn Co. Sheriff's Department,1,1,32,60,96
2016,Glenn County,Orland,0,5,17,30,96
2016,Glenn County,Willows,0,5,35,32,170
2016,Glenn County,Union Pacific RR - Glenn,0,0,0,0,0
2016,Glenn County,CA Highway Patrol - Glenn,0,0,0,0,5
2016,Humboldt County,Humboldt Co. Sheriff's Department,9,57,177,366,385
2016,Humboldt County,Arcata,0,22,54,129,461
2016,Humboldt County,Eureka,1,76,154,424,854
2016,Humboldt County,Ferndale,0,1,5,7,16
2016,Humboldt County,Fortuna,2,8,45,59,368
2016,Humboldt County,Rio Dell,0,1,6,9,22
2016,Humboldt County,CSU Humboldt (Arcata),0,2,0,5,107
2016,Humboldt County,Union Pacific RR - Humboldt,0,0,0,0,0
2016,Humboldt County,Northern Coast Redwoods DPR,0,0,0,5,27
2016,Humboldt County,CA Highway Patrol - Humboldt,0,0,0,0,53
2016,Imperial County,Imperial Co. Sheriff's Department,2,12,139,129,298
2016,Imperial County,Brawley,0,11,110,170,692
2016,Imperial County,Calexico,0,38,123,321,710
2016,Imperial County,El Centro,1,55,130,506,1669
2016,Imperial County,Holtville,0,1,11,28,41
2016,Imperial County,Imperial,0,1,6,7,60
2016,Imperial County,Westmorland,0,0,2,4,3
